Genes	N_G005	N_G006	N_G010	N_G012	N_G014	N_G016	N_G022	N_G036	N_G038	N_G039	N_G043	N_G044	N_G046	N_G055	N_G059	N_G061	N_G064	N_G066	N_G076	N_G079	N_G080	N_G084	N_G085	N_G091	N_G102	N_G116	N_G117
AAAS	0.8756	0.94	0.9602	0.9098	1.0798	0.9582	0.8786	0.8755	1.0184	0.8652	0.9847	0.9161	0.8479	0.8801	0.8415	1.0115	0.8162	0.8833	0.8727	0.8418	0.9127	0.8256	0.9931	0.9927	0.8159	0.8378	0.8529
AACS	-0.7298	-0.5753	-0.4084	-0.4942	-0.637	-0.4269	-0.6865	-0.5208	-0.4954	-0.4943	-0.7538	-1.0532	-0.6688	-0.5538	-0.471	-0.4525	-0.5476	-0.631	-0.6392	-0.5059	-0.5083	-0.7014	-0.5625	-0.5479	-0.6367	-0.5099	-0.6833
AADAC	0.9734	0.9334	1.458	1.6221	1.1974	1.5633	1.7912	1.2267	1.3132	1.282	1.64	1.0398	1.6397	2.1007	1.8455	1.3619	0.7058	1.0755	1.0059	1.809	0.6299	1.7585	1.243	0.8902	1.8118	1.6135	1.4545
AADACL1	-2.9089	-2.5761	-2.5064	-2.4402	-2.7316	-3.5249	-2.5413	-2.5265	-2.6446	-2.225	-3.2383	-2.371	-2.4513	-1.9972	-2.2704	-3.0871	-3.1371	-2.3328	-2.4732	-2.7031	-2.6822	-2.561	-2.8994	-2.9938	-2.8789	-2.1146	-3.0462
AADACL2	-0.0467	-0.0628	-0.0384	-0.1472	-0.057	-0.0266	-0.0339	-0.0262	-0.0565	-0.0552	-0.0062	-0.0673	-0.0576	-0.0643	-0.0099	-0.0487	-0.075	-0.0322	-0.0516	-0.0516	-0.0824	-0.0539	-0.0463	-0.0687	-0.0587	-0.059	-0.0709
AADAT	-0.03505	-0.31835	-0.53025	-0.25105	-0.12015	-0.11565	-0.41315	0.15505	-0.06795	-0.53395	-0.21715	-0.35205	-0.55325	-0.13675	-0.15745	0.06565	0.02875	-0.57415	-0.53285	-0.11605	-0.24515	-0.28155	-0.27715	-0.35705	-0.21435	-0.28135	-0.11335
AAK1	0.190952941	0.127152941	0.509352941	0.092752941	0.819452941	-0.817347059	-0.232647059	0.038352941	-0.665647059	0.425452941	0.448252941	0.070552941	-0.663447059	-0.247447059	-0.538947059	0.178952941	-0.097447059	-0.234047059	-0.160147059	-0.289247059	-0.145847059	-0.752347059	-0.048747059	0.292452941	-0.269847059	-0.293347059	-0.585747059
AAMP	0.9384	1.1592	1.0333	1.0723	1.2998	1.1733	1.3218	0.8187	0.9748	1.1352	1.3845	1.0115	0.9185	0.966	1.0587	1.1332	0.9832	1.4759	0.9617	0.7071	1.0201	1.1144	1.0591	1.1786	1.3137	1.0213	1.253
AANAT	-0.3134	-0.2538	-0.2892	-0.1485	-0.0801	-0.2278	-0.2931	-0.132	-0.2064	-0.1905	-0.0836	-0.1445	-0.3067	-0.1162	-0.3014	0.0173	-0.3005	-0.2194	-0.3403	-0.3093	-0.3469	-0.3569	-0.2942	-0.2273	-0.296	-0.3042	-0.3076
AARS	-0.02915	0.11295	-0.17225	-0.01825	0.10635	-0.05425	0.02845	-0.41145	-0.05495	-0.03535	0.21165	-0.16175	0.04895	-0.07865	-0.13575	-0.09485	-0.18995	0.29105	0.04725	-0.59625	-0.01025	0.01855	-0.13335	0.09055	0.34815	-0.00385	0.13635
AARSD1	-0.3946	-0.7471	-0.621	-0.6978	-0.6412	-0.6399	-0.5941	-0.5945	-0.5518	-0.6941	-0.5106	-0.5764	-0.56	-0.5444	-0.6188	-0.5367	-0.5758	-0.4169	-0.5306	-0.6069	-0.4276	-0.4933	-0.437	-0.4952	-0.3966	-0.7517	-0.3876
AASDH	0.097	0.0381	-0.333	-0.1479	-0.0578	0.0804	-0.0826	0.2252	0.005	-0.4727	0.0395	0.0539	0.1709	-0.0169	-0.0076	-0.3282	-0.2707	0.1506	0.237	-0.075	-0.1615	0.216	0.3798	0.0571	0.3133	0.0122	0.1966
AASDHPPT	-0.574107692	-0.518507692	-0.879207692	-0.656207692	-0.594607692	-0.825907692	-0.674607692	-0.254007692	-0.459307692	-0.757707692	-0.726407692	-0.535407692	-0.563407692	-0.458107692	-0.566707692	-0.286407692	-0.267407692	-0.578207692	-0.431107692	-0.702607692	-0.583007692	-0.427507692	-0.445707692	-0.662807692	-0.544007692	-0.662507692	-0.454207692
AASS	1.4622	1.5448	0.9537	1.4113	1.4049	1.5571	1.4031	1.4272	1.1652	1.2347	1.2306	1.359	1.4659	1.4554	1.6416	0.9202	0.9506	1.2259	1.5063	1.1646	0.9741	1.4031	1.25	1.292	1.3336	0.8447	1.4633
AATF	1.12465	1.11425	1.05425	1.21155	1.00985	0.82435	0.96795	0.88365	1.04715	0.97615	1.07025	0.95115	1.12555	1.09725	1.12625	1.08015	1.12825	1.07965	1.09815	0.86455	1.24975	1.01505	1.25235	1.02215	1.08455	0.86175	1.00925
AATK	-1.193538462	-1.952138462	-1.896238462	-1.789738462	-1.684238462	-2.003138462	-1.722438462	-1.954438462	-2.218238462	-1.396238462	-1.763438462	-1.634938462	-2.074338462	-1.894538462	-1.786638462	-1.603338462	-1.700138462	-1.870038462	-1.995938462	-1.839838462	-1.633838462	-1.726738462	-1.369638462	-1.618938462	-1.613638462	-1.836038462	-1.792038462
ABAT	-1.557323077	-1.717523077	-2.591023077	-2.314823077	-2.118723077	-2.417923077	-1.917723077	-1.813423077	-1.868023077	-3.298323077	-1.568723077	-1.999223077	-3.431723077	-3.142423077	-2.851023077	-1.365123077	-1.278623077	-1.275323077	-1.458923077	-1.859423077	-1.129923077	-1.532723077	-1.807323077	-1.418423077	-1.568823077	-2.913123077	-1.357923077
ABCA1	0.9641875	0.6852875	0.3122875	0.3907875	0.2405875	0.2759875	0.6631875	0.9720875	0.6468875	1.0252875	0.0789875	1.1024875	-0.2003125	0.2322875	0.0801875	0.4578875	0.4147875	1.0173875	1.1032875	-0.1839125	0.1804875	0.1623875	0.7513875	0.7779875	0.8035875	0.9766875	0.8443875
ABCA10	-0.401933333	-0.442433333	-0.281533333	-0.419933333	-0.675933333	-0.236233333	-0.432833333	-0.470133333	-0.353433333	-0.529333333	-0.561033333	-0.024333333	-0.400333333	-0.395733333	-0.579433333	-0.751233333	-0.270333333	-0.179233333	-0.047133333	-0.668733333	-0.014433333	0.133966667	-0.457233333	-0.177233333	-0.428133333	-0.663833333	0.036166667
ABCA11	-0.338866667	-0.498066667	-0.500566667	-0.807666667	-1.047166667	-0.390266667	-0.877966667	-0.368466667	-0.251466667	-0.901766667	-0.425066667	-0.493766667	-0.578966667	-0.844866667	-0.758666667	-0.721366667	-0.654666667	-0.356366667	-0.397366667	-0.925666667	-0.656466667	-0.217266667	-0.487966667	-0.674466667	-0.564066667	-0.855766667	-0.247266667
ABCA12	2.951	3.1383	2.9179	2.8829	3.5129	2.7219	3.0278	2.9323	2.9187	3.5473	3.2927	3.3545	3.0304	2.7664	2.841	3.493	3.6379	2.8608	3.5989	2.8486	3.6122	3.0447	2.7729	3.5675	2.7265	3.6311	3.2789
ABCA13	2.1278	0.7156	0.7005	1.4336	0.407	0.8677	0.8353	0.6055	0.8747	0.4961	0.9321	0.5614	3.049	1.7227	1.6022	0.4373	0.4277	0.5309	0.344	0.6869	0.4681	0.3084	0.6572	0.532	0.6837	2.1296	0.7356
ABCA2	-1.0871	-1.6315	-1.429	-1.7402	-1.2648	-1.6341	-1.6863	-1.2271	-1.476	-1.5225	-1.3485	-0.8567	-1.2657	-1.6293	-1.8682	-1.056	-1.1183	-1.2165	-1.4312	-1.4379	-1.2518	-1.3923	-1.0261	-1.2512	-1.1418	-1.5483	-1.4342
ABCA3	-1.215527273	-1.382927273	-1.458627273	-1.433827273	-1.397327273	-2.124427273	-1.316627273	-1.941227273	-1.086927273	-1.487327273	-1.742827273	-1.339927273	-1.659327273	-2.196527273	-2.251927273	-1.244827273	-1.348327273	-1.221427273	-1.460527273	-1.508227273	-1.415827273	-1.342627273	-1.312727273	-1.289627273	-1.253527273	-1.565827273	-1.303727273
ABCA4	-0.200855556	0.321644444	-0.577555556	-0.302355556	0.056544444	-0.789055556	-0.390655556	-0.628355556	-0.318055556	-0.043355556	-0.558555556	0.015544444	-0.828755556	-0.737155556	-0.012555556	-0.900455556	-0.982955556	-0.447955556	-0.527955556	0.312644444	-0.016055556	-0.291255556	-0.826655556	0.192444444	-0.377455556	-0.005555556	-0.167455556
ABCA5	-2.52905	-1.36675	-1.26855	-1.60355	-2.83795	-1.33725	-1.48985	-0.88455	-2.08355	-1.36655	-1.72845	-1.84125	-1.87605	-2.02375	-1.32815	-1.45305	-2.04485	-0.88935	-1.11935	-0.66775	-1.63565	-1.16275	-1.16005	-3.04765	-1.52745	-1.45995	-1.27455
ABCA6	-1.441846154	-1.029546154	-1.363146154	-1.658146154	-1.546646154	-0.997846154	-1.280146154	-1.483546154	-1.447646154	-1.294246154	-1.328346154	-1.295746154	-1.314346154	-1.488346154	-1.399146154	-1.884846154	-1.719546154	-0.078446154	-1.615546154	-1.511946154	-1.480846154	-0.826746154	-1.445946154	-1.207246154	-0.615846154	-0.927746154	-1.435546154
ABCA7	1.2594	1.2312	1.2332	1.0999	1.2591	1.1222	1.2661	0.8944	0.8556	1.3706	1.3857	1.2079	1.2471	0.9383	0.7349	0.9548	1.0338	1.2069	0.9654	0.7452	0.9529	1.0314	1.4087	1.345	1.5821	0.8903	1.1098
ABCA8	-1.288	-2.8124	-0.892	-1.8159	-2.5239	-0.9778	-2.0302	-2.0848	-2.0194	-2.0742	-2.2276	-2.4792	-1.0517	-2.3936	-0.9726	-2.8253	-2.6736	-1.3675	-1.399	-2.6082	-2.7806	-1.1522	-0.7255	-2.2937	-1.304	-1.4318	-2.2751
ABCA9	-1.093030769	-1.972730769	-1.925730769	-1.919430769	-1.515330769	-1.483030769	-1.939530769	-1.198230769	-1.946530769	-1.787230769	-1.920430769	-1.663630769	-1.222230769	-1.865330769	-1.925630769	-1.989530769	-1.600230769	-1.531830769	-1.973830769	-1.921030769	-1.961230769	-1.981030769	-0.842330769	-1.703430769	-1.496730769	-1.950230769	-2.137630769
ABCB1	-2.534563636	-2.002863636	-2.014863636	-1.805763636	-1.802463636	-1.634063636	-1.680663636	-2.183563636	-1.843963636	-1.582163636	-1.248063636	-1.747963636	-1.718763636	-1.196463636	-1.473563636	-1.894663636	-1.960463636	-1.812963636	-1.669963636	-2.504163636	-1.957663636	-1.698563636	-2.138263636	-1.641663636	-2.093063636	-1.585363636	-1.378563636
ABCB10	0.354033333	0.609733333	0.082633333	0.870833333	0.603833333	0.588533333	0.816833333	0.823833333	0.623833333	0.823833333	0.653633333	0.462333333	0.490633333	0.368133333	0.921533333	0.611433333	0.715333333	0.519633333	0.781233333	1.105833333	0.713633333	0.974933333	0.529833333	0.534233333	0.564633333	0.692933333	0.680433333
ABCB11	-0.107066667	-0.196766667	-0.097166667	0.426733333	-0.074466667	-0.073766667	-0.098466667	-0.089966667	-0.116666667	-0.275166667	-0.073766667	-0.302766667	-0.104966667	-0.083066667	1.197233333	-0.159366667	-0.138666667	-0.120166667	-0.125666667	-0.100966667	-0.111466667	-0.129666667	-0.101966667	-0.025466667	-0.185066667	-0.119366667	-0.107466667
ABCB4	0.5872	0.2606	0.2898	0.547	0.4121	0.2992	0.4731	2.0713	0.3224	0.2029	0.3434	0.4923	1.6065	0.3077	1.6446	0.9775	1.2839	0.2019	0.3359	0.2417	0.7542	0.3122	0.1341	0.6693	0.0565	1.1448	-0.0235
ABCB5	-0.033333333	-0.050133333	-0.024033333	-0.027633333	-0.216133333	-0.009733333	-0.020133333	-0.012233333	0.587566667	-0.090433333	-0.029733333	0.099966667	-0.041133333	-0.042933333	-0.034733333	-0.033933333	-0.061233333	-0.045233333	-0.039633333	-0.035433333	0.197466667	-0.042133333	-0.030933333	0.052066667	-0.097433333	-0.044533333	-0.182933333
ABCB6	0.205876923	0.324576923	0.171176923	0.403176923	0.377876923	0.491976923	0.273576923	0.242276923	0.206076923	0.251876923	0.263976923	0.474476923	0.382476923	0.077576923	0.295076923	0.465676923	0.430776923	0.234776923	0.241276923	0.407876923	0.324476923	0.112876923	0.233776923	0.273276923	0.625176923	0.197776923	0.209176923
ABCB7	1.4519	1.4177	1.5239	1.7105	1.3463	1.5228	1.432	1.4606	1.56	1.3567	1.3528	1.4332	1.5192	1.6827	1.7178	1.5186	1.4838	1.5182	1.5121	1.6241	1.3268	1.646	1.6015	1.2855	1.547	1.5317	1.6214
ABCB8	0.7271125	0.7944125	0.8796125	0.6593125	0.4624125	0.7990125	0.2786125	0.0351125	1.3409125	0.6646125	0.4957125	0.7666125	0.9453125	0.5184125	0.8464125	0.7904125	0.8034125	0.8385125	0.7594125	0.1538125	0.6460125	0.7761125	0.5868125	0.8037125	0.3477125	0.8574125	0.7296125
ABCB9	-0.567425	-0.204125	-0.597725	0.320175	-0.100025	-0.628325	0.060475	-0.653225	-0.190225	0.366075	0.009275	0.021475	0.142875	-0.759325	0.625275	-0.475325	-0.464125	-0.218525	-0.524325	-0.514625	-0.158625	-0.604625	-0.915325	-0.268325	0.305675	-0.468525	-0.594225
ABCC1	2.4289	2.286	2.2361	2.4453	2.156	1.6962	1.9457	1.5751	2.3534	2.1938	1.7911	1.8118	2.4012	2.492	2.4309	2.2359	2.2083	1.6014	2.3831	2.2612	2.3334	1.8377	2.2631	2.2982	2.1483	2.4716	2.0983
ABCC10	0.8908	0.8609	0.8266	0.7647	0.7655	0.7406	0.9195	0.4414	0.8078	0.9404	0.7712	0.7483	0.6281	0.8553	0.746	0.7196	0.5895	0.9991	0.8351	0.694	0.5608	0.8861	0.8228	0.7895	0.9918	0.791	0.8089
ABCC11	-0.8332375	-0.7349375	-0.7094375	-0.7735375	-0.4026375	-0.7462375	-0.6654375	-0.7689375	-0.6798375	-0.8660375	-0.7073375	-0.2431375	-0.8021375	-0.5654375	-0.6750375	-0.9842375	-0.8789375	-0.6834375	-0.7595375	-0.7682375	-0.3993375	-0.6549375	-0.8356375	-0.4453375	-0.4796375	-0.8721375	-0.3723375
ABCC12	-3.297025	-3.321725	-3.287625	-3.287025	-3.464425	-3.265325	-3.287925	-3.279425	-1.783525	-3.403925	-3.262625	-3.139825	-3.296825	-3.278025	-3.295225	-2.528925	-3.095425	-3.306825	-3.314125	-3.292325	-3.104725	-3.317925	-3.292425	-3.195125	-3.311425	-3.309625	-3.290325
ABCC13	-0.2809	-0.2963	-0.2725	-0.2778	-0.2915	-0.2616	-0.2679	-0.2602	-0.2906	-0.2895	-0.2401	-0.3019	-0.2924	-0.3007	-0.2844	-0.2829	-0.309	-0.2649	-0.285	-0.2864	-0.3164	-0.2872	-0.2807	-0.3034	-0.2928	-0.2931	-0.3054
ABCC2	2.777133333	2.754033333	2.930933333	2.764533333	2.766933333	2.247433333	2.492533333	2.645033333	2.708533333	2.627433333	2.825733333	2.726833333	2.595933333	2.770233333	2.411933333	2.611033333	2.506033333	2.745833333	2.511733333	2.601133333	2.757933333	2.738633333	2.574133333	2.845133333	2.701233333	2.622033333	2.604533333
ABCC3	2.022581818	3.205581818	4.147481818	3.222681818	3.001781818	2.578881818	3.797181818	1.647481818	2.314081818	4.235781818	3.291681818	3.656681818	3.276181818	2.736481818	3.119581818	2.360281818	2.130981818	4.209781818	3.464581818	1.698881818	2.541581818	2.814581818	1.988181818	3.147981818	2.553981818	4.071781818	2.941081818
ABCC4	1.61756875	1.86226875	1.87736875	1.86566875	1.89646875	1.70056875	1.88256875	1.83426875	1.85936875	2.00706875	1.73376875	1.98476875	1.78836875	1.81476875	1.78736875	1.58326875	1.40396875	1.74936875	1.87476875	1.56386875	2.01436875	1.94716875	1.75516875	2.04656875	1.54256875	1.85356875	1.75036875
ABCC5	-0.447233333	-0.151033333	-0.276333333	-0.259733333	-0.214733333	-0.696433333	-0.250933333	-0.241533333	-0.931733333	-0.312533333	-0.512333333	-0.244333333	-0.373933333	-0.385333333	-0.563533333	-0.217233333	-0.116433333	-0.096933333	-0.561533333	-0.567333333	-0.520633333	-0.490433333	-0.184333333	-0.147833333	-0.253633333	-0.512933333	-0.312133333
ABCC6	0.728672222	1.298872222	1.697772222	0.533072222	0.900672222	0.861372222	0.978972222	1.120172222	0.024972222	0.519272222	1.538572222	1.249272222	0.661872222	0.426372222	0.436472222	1.177872222	1.196972222	1.693372222	1.221772222	1.492572222	0.631672222	1.173372222	0.705772222	1.091072222	1.845172222	1.255672222	1.353872222
ABCC8	-3.61	-3.4194	-3.4603	-4.1467	-3.3315	-4.2537	-3.9099	-3.2632	-4.8704	-3.5836	-3.2404	-4.0949	-4.5769	-4.3605	-4.7514	-2.5844	-2.5731	-3.8334	-3.7613	-3.7688	-3.5405	-5.2163	-2.8905	-3.6127	-3.8523	-4.353	-4.1778
ABCC9	-1.634909091	-1.659809091	-1.625409091	-1.624609091	-1.639009091	-0.976809091	-1.626009091	-1.617509091	-1.663709091	-1.638909091	-1.600909091	-1.646309091	-1.634209091	-1.614509091	-1.632809091	-1.634809091	-1.681209091	-1.645709091	-1.652509091	-0.466209091	-1.672009091	-1.656309091	-1.110609091	-1.818109091	-1.649509091	-1.647509091	-1.656709091
ABCD1	0.813866667	0.594166667	0.795566667	1.012266667	0.747566667	1.015666667	0.878566667	0.486766667	0.754366667	1.184566667	0.861366667	1.000266667	1.125266667	0.780166667	0.949866667	0.612566667	0.454266667	0.742066667	0.747166667	0.860066667	0.677966667	0.633066667	0.674566667	0.680466667	0.669166667	0.963566667	0.547266667
ABCD2	-1.925833333	-1.252333333	-0.145333333	-1.593833333	-1.865433333	-1.838933333	-1.494733333	-1.946033333	-1.910433333	-1.874333333	-1.976433333	-1.522133333	-1.826033333	-1.659433333	-1.855533333	-1.900733333	-1.941533333	-0.298133333	-0.620433333	-1.865933333	-1.512133333	-0.250433333	-1.098333333	-1.444233333	-0.136433333	-1.917533333	-1.287133333
ABCD3	0.682371429	0.918271429	0.249371429	0.816971429	0.661471429	0.634271429	0.728671429	0.513271429	0.731271429	0.542971429	0.677071429	0.418971429	0.519971429	0.673771429	0.986471429	0.312571429	0.177371429	0.888871429	0.803271429	0.611871429	0.771471429	1.186771429	0.746871429	0.827971429	0.844271429	0.640171429	0.809471429
ABCD4	0.0962625	0.0155625	0.0521625	-0.1321375	-0.1164375	-0.0441375	-0.0652375	0.1488625	0.2828625	0.2544625	-0.1256375	0.3512625	-0.0118375	-0.3591375	-0.0343375	-0.3090375	-0.2239375	0.1836625	0.3490625	-0.1102375	-0.0608375	0.0790625	0.1762625	0.1974625	-0.1475375	-0.1509375	0.1185625
ABCE1	0.8642	0.6657	0.9287	0.8419	0.6098	0.7898	0.7502	0.8069	0.7589	0.6763	0.7819	0.6876	0.8211	1.027	0.9535	0.7551	0.7092	0.6449	0.7107	0.9707	0.585	0.8822	0.5571	0.6951	0.717	1.0088	0.7739
ABCF1	0.573123077	0.442423077	0.481323077	0.414723077	0.387423077	0.336423077	0.397623077	0.208923077	0.583623077	0.339423077	0.325323077	0.243023077	0.247323077	0.394123077	0.316123077	0.430423077	0.347423077	0.567623077	0.399523077	0.252323077	0.159023077	0.454123077	0.616123077	0.279723077	0.410723077	0.283823077	0.381623077
ABCF2	0.703163636	0.715263636	0.715363636	0.604763636	0.777163636	0.800063636	0.696863636	0.358463636	1.202063636	0.719663636	0.912663636	0.544163636	0.635963636	0.539063636	0.645063636	0.704963636	0.552863636	0.821063636	0.539263636	0.292163636	0.645263636	0.620263636	0.561563636	0.809763636	0.599363636	0.851463636	0.641763636
ABCF3	-0.161975	-0.110175	-0.159375	-0.089575	0.034725	-0.110275	-0.133175	-0.127875	-0.257575	-0.191475	-0.033575	-0.186375	-0.089175	-0.184975	-0.265675	0.040925	-0.088075	-0.051575	-0.080475	-0.136675	-0.154375	-0.249675	-0.143775	-0.065275	-0.047875	-0.168775	-0.111575
ABCG1	-0.208366667	-1.856966667	-2.009766667	-2.082466667	-1.920666667	-1.294466667	-1.986166667	-1.481066667	-1.369166667	-1.757266667	-1.760566667	-1.890566667	-2.580766667	-1.846966667	-2.005066667	-1.582966667	-1.694666667	-1.292466667	-1.364766667	-2.261466667	-1.058266667	-1.810866667	-0.160566667	-1.389266667	-0.896266667	-1.956466667	-1.482866667
ABCG2	-0.988	-0.6075	-0.9738	-1.2629	-0.6497	-0.8244	-0.9072	-0.6937	-1.2468	-0.9416	-0.5341	-1.209	-1.1023	-1.4426	-1.2505	-0.9017	-0.9533	-0.5059	-0.5879	-0.9337	-1.0916	-0.7941	-1.3625	-0.7662	-1.0934	-1.3468	-1.154
ABCG4	-1.297466667	-1.465066667	-1.148866667	-1.560366667	-0.857666667	-2.221466667	-1.414766667	-0.982466667	-2.642666667	-0.986466667	-0.634266667	-1.374466667	-2.174166667	-2.332666667	-2.745566667	-0.995866667	-1.056866667	-1.240266667	-1.769666667	-1.379866667	-1.638666667	-2.184966667	-1.353766667	-1.130366667	-1.545766667	-1.733566667	-1.716766667
ABCG5	0.5552	0.726	0.6115	0.3401	0.9943	0.0585	1.0097	0.8276	0.6577	0.2266	0.4791	0.2431	0.375	0.4886	0.4547	0.5164	0.8909	0.7837	0.6275	0.5645	0.7524	0.6098	0.3209	0.8432	0.5349	0.3176	0.7552
ABCG8	0.956966667	0.943166667	0.965666667	0.959466667	1.030466667	0.974566667	0.970466667	0.861566667	0.947466667	0.783466667	0.998366667	0.773266667	0.944166667	0.932066667	0.952966667	0.851766667	0.929466667	0.976166667	0.954666667	0.950166667	1.234466667	0.952666667	0.956566667	0.994566667	0.945266667	0.944966667	0.400166667
ABHD1	-1.3198	-1.5413	-1.2366	-0.8926	-1.3104	-0.9518	-1.0447	-1.0903	-1.5526	-1.4215	-0.9562	-1.2977	-1.0282	-1.0345	-1.1279	-1.3153	-1.2514	-0.9738	-1.1627	-1.0734	-1.7902	-1.4478	-0.9411	-1.5487	-0.9673	-1.1482	-1.1036
ABHD10	-0.356776923	-0.415676923	-0.076876923	-0.293176923	-0.410776923	-0.348176923	-0.343876923	0.110923077	-0.310376923	-0.512376923	-0.183876923	-0.341476923	-0.306276923	-0.086276923	-0.137476923	-0.063176923	-0.089376923	-0.440776923	-0.405876923	0.006123077	-0.168176923	-0.431076923	-0.354076923	-0.457576923	-0.405576923	-0.123876923	-0.124576923
ABHD11	0.967261538	0.936261538	1.200061538	1.087461538	1.089961538	0.941361538	0.830761538	0.883361538	1.208961538	1.045461538	0.988161538	1.194861538	0.993661538	0.719661538	1.269161538	1.072261538	0.975361538	1.143361538	1.037261538	1.282661538	0.762661538	0.929661538	0.746361538	1.018361538	1.126561538	1.274661538	0.951361538
ABHD12	-0.379053846	0.117946154	-0.382553846	0.101046154	-0.291453846	-0.228353846	-0.284853846	-0.130753846	-0.015253846	-0.536553846	-0.464753846	-0.297853846	-0.377853846	-0.250953846	-0.253653846	-0.325053846	-0.236053846	0.288646154	-0.084653846	-0.004853846	0.086946154	0.018246154	-0.163953846	0.058546154	0.076346154	0.073646154	-0.161253846
ABHD13	-0.682707692	-0.654707692	-0.606107692	-0.449207692	-0.700507692	-0.466007692	-0.518507692	-0.421907692	-0.590007692	-0.215107692	-0.699607692	-0.508507692	-0.342707692	-0.068207692	-0.355607692	-0.607007692	-0.421007692	-0.532607692	-0.246107692	-0.434507692	-0.203307692	-0.384007692	-0.453007692	-0.551207692	-0.547507692	-0.615307692	-0.647907692
ABHD14A	-1.81	-1.7151	-1.9298	-1.607	-1.9549	-1.5672	-1.7735	-1.8912	-1.6697	-1.9512	-1.8511	-1.6479	-1.7351	-1.7361	-1.8295	-1.514	-1.5326	-1.3693	-1.6564	-1.6077	-1.4453	-1.6209	-1.7413	-1.7364	-1.5504	-1.945	-1.4947
ABHD14B	0.57595	0.57275	0.95085	0.74685	0.66325	0.85755	0.70735	0.74565	0.48825	0.52655	0.80065	0.90095	0.66055	0.72825	0.78035	0.90895	0.75125	0.97405	0.63695	0.94985	0.74035	0.68665	0.53395	0.38945	0.94165	0.83405	0.58655
ABHD2	0.557325	0.471725	1.036525	0.944025	0.579025	1.418825	1.210425	0.955925	0.516825	1.001825	1.026825	0.864325	0.606325	0.926825	0.865825	0.558125	0.136325	0.799225	0.443025	0.866925	0.391625	0.683725	0.851425	0.543125	0.817525	0.873925	0.465025
